Treatment;Start_mean;Start_var;End_mean;End_var;Slope_mean;Slope_var;Intercept_mean;Intercept_var;R-squared_mean;R-squared_var;P-value_mean;P-value_var;Standard Error_mean;Standard Error_var
CTR;1710743629.0;1234861.0;1710743698.6666667;1220134.3332723975;0.3563544865712584;0.00026797101424077467;-609630644.103057;784259195326519.6;0.9899095272949024;1.554206984120678e-05;3.422595264883587e-59;3.51424551104408e-117;0.004391459669853667;1.727146481508239e-06
PE055;1710744130.6666667;595177.3332896233;1710744199.0;597451.0;0.2986585025975965;0.0004111448941453939;-510927745.0018551;1203258535464398.8;0.9830254141255107;3.5820931489533665e-05;1.4599209855512432e-58;1.7154117831894445e-116;0.0047196903717188;3.513048298639752e-07
PE090;1710743699.6666667;865140.33328861;1710743766.6666667;860650.3332888484;0.2731343362988016;7.57750139653635e-05;-467262314.7188719;221759452288809.56;0.9857873628841777;3.2995187078755933e-06;9.331640953689567e-57;2.612385595095777e-112;0.0040636191559701;7.231728268965204e-08
ST025;1710743180.0;110593.0;1710743243.3333333;112864.33335489035;0.29476248521170995;0.0007895169609307908;-504262379.36108375;2310627210197404.0;0.9784563719992218;4.0497364545780656e-05;6.014865335423847e-47;1.0853581463197496e-92;0.005517842758680766;3.8282139610663305e-07
CTR;1710743629.0;1234861.0;1710743698.6666667;1220134.3332723975;0.3563544865712584;0.00026797101424077467;-609630644.103057;784259195326519.6;0.9899095272949024;1.554206984120678e-05;3.422595264883587e-59;3.51424551104408e-117;0.004391459669853667;1.727146481508239e-06
PE055;1710744130.6666667;595177.3332896233;1710744199.0;597451.0;0.2986585025975965;0.0004111448941453939;-510927745.0018551;1203258535464398.8;0.9830254141255107;3.5820931489533665e-05;1.4599209855512432e-58;1.7154117831894445e-116;0.0047196903717188;3.513048298639752e-07
PE090;1710743699.6666667;865140.33328861;1710743766.6666667;860650.3332888484;0.2731343362988016;7.57750139653635e-05;-467262314.7188719;221759452288809.56;0.9857873628841777;3.2995187078755933e-06;9.331640953689567e-57;2.612385595095777e-112;0.0040636191559701;7.231728268965204e-08
ST025;1710743180.0;110593.0;1710743243.3333333;112864.33335489035;0.29476248521170995;0.0007895169609307908;-504262379.36108375;2310627210197404.0;0.9784563719992218;4.0497364545780656e-05;6.014865335423847e-47;1.0853581463197496e-92;0.005517842758680766;3.8282139610663305e-07
CTR;1710743629.0;1234861.0;1710743698.6666667;1220134.3332723975;0.3563544865712584;0.00026797101424077467;-609630644.103057;784259195326519.6;0.9899095272949024;1.554206984120678e-05;3.422595264883587e-59;3.51424551104408e-117;0.004391459669853667;1.727146481508239e-06
PE055;1710744130.6666667;595177.3332896233;1710744199.0;597451.0;0.2986585025975965;0.0004111448941453939;-510927745.0018551;1203258535464398.8;0.9830254141255107;3.5820931489533665e-05;1.4599209855512432e-58;1.7154117831894445e-116;0.0047196903717188;3.513048298639752e-07
PE090;1710743699.6666667;865140.33328861;1710743766.6666667;860650.3332888484;0.2731343362988016;7.57750139653635e-05;-467262314.7188719;221759452288809.56;0.9857873628841777;3.2995187078755933e-06;9.331640953689567e-57;2.612385595095777e-112;0.0040636191559701;7.231728268965204e-08
ST025;1710743180.0;110593.0;1710743243.3333333;112864.33335489035;0.29476248521170995;0.0007895169609307908;-504262379.36108375;2310627210197404.0;0.9784563719992218;4.0497364545780656e-05;6.014865335423847e-47;1.0853581463197496e-92;0.005517842758680766;3.8282139610663305e-07
CTR;1710743629.0;1234861.0;1710743698.6666667;1220134.3332723975;0.3563544865712584;0.00026797101424077467;-609630644.103057;784259195326519.6;0.9899095272949024;1.554206984120678e-05;3.422595264883587e-59;3.51424551104408e-117;0.004391459669853667;1.727146481508239e-06
PE055;1710744130.6666667;595177.3332896233;1710744199.0;597451.0;0.2986585025975965;0.0004111448941453939;-510927745.0018551;1203258535464398.8;0.9830254141255107;3.5820931489533665e-05;1.4599209855512432e-58;1.7154117831894445e-116;0.0047196903717188;3.513048298639752e-07
PE090;1710743699.6666667;865140.33328861;1710743766.6666667;860650.3332888484;0.2731343362988016;7.57750139653635e-05;-467262314.7188719;221759452288809.56;0.9857873628841777;3.2995187078755933e-06;9.331640953689567e-57;2.612385595095777e-112;0.0040636191559701;7.231728268965204e-08
ST025;1710743180.0;110593.0;1710743243.3333333;112864.33335489035;0.29476248521170995;0.0007895169609307908;-504262379.36108375;2310627210197404.0;0.9784563719992218;4.0497364545780656e-05;6.014865335423847e-47;1.0853581463197496e-92;0.005517842758680766;3.8282139610663305e-07
CTR;1710743629.0;1234861.0;1710743698.6666667;1220134.3332723975;0.3563544865712584;0.00026797101424077467;-609630644.103057;784259195326519.6;0.9899095272949024;1.554206984120678e-05;3.422595264883587e-59;3.51424551104408e-117;0.004391459669853667;1.727146481508239e-06
PE055;1710744130.6666667;595177.3332896233;1710744199.0;597451.0;0.2986585025975965;0.0004111448941453939;-510927745.0018551;1203258535464398.8;0.9830254141255107;3.5820931489533665e-05;1.4599209855512432e-58;1.7154117831894445e-116;0.0047196903717188;3.513048298639752e-07
PE090;1710743699.6666667;865140.33328861;1710743766.6666667;860650.3332888484;0.2731343362988016;7.57750139653635e-05;-467262314.7188719;221759452288809.56;0.9857873628841777;3.2995187078755933e-06;9.331640953689567e-57;2.612385595095777e-112;0.0040636191559701;7.231728268965204e-08
ST025;1710743180.0;110593.0;1710743243.3333333;112864.33335489035;0.29476248521170995;0.0007895169609307908;-504262379.36108375;2310627210197404.0;0.9784563719992218;4.0497364545780656e-05;6.014865335423847e-47;1.0853581463197496e-92;0.005517842758680766;3.8282139610663305e-07
CTR;1710743629.0;1234861.0;1710743698.6666667;1220134.3332723975;0.3563544865712584;0.00026797101424077467;-609630644.103057;784259195326519.6;0.9899095272949024;1.554206984120678e-05;3.422595264883587e-59;3.51424551104408e-117;0.004391459669853667;1.727146481508239e-06
PE055;1710744130.6666667;595177.3332896233;1710744199.0;597451.0;0.2986585025975965;0.0004111448941453939;-510927745.0018551;1203258535464398.8;0.9830254141255107;3.5820931489533665e-05;1.4599209855512432e-58;1.7154117831894445e-116;0.0047196903717188;3.513048298639752e-07
PE090;1710743699.6666667;865140.33328861;1710743766.6666667;860650.3332888484;0.2731343362988016;7.57750139653635e-05;-467262314.7188719;221759452288809.56;0.9857873628841777;3.2995187078755933e-06;9.331640953689567e-57;2.612385595095777e-112;0.0040636191559701;7.231728268965204e-08
ST025;1710743180.0;110593.0;1710743243.3333333;112864.33335489035;0.29476248521170995;0.0007895169609307908;-504262379.36108375;2310627210197404.0;0.9784563719992218;4.0497364545780656e-05;6.014865335423847e-47;1.0853581463197496e-92;0.005517842758680766;3.8282139610663305e-07
CTR;1710743629.0;1234861.0;1710743698.6666667;1220134.3332723975;0.3563544865712584;0.00026797101424077467;-609630644.103057;784259195326519.6;0.9899095272949024;1.554206984120678e-05;3.422595264883587e-59;3.51424551104408e-117;0.004391459669853667;1.727146481508239e-06
PE055;1710744130.6666667;595177.3332896233;1710744199.0;597451.0;0.2986585025975965;0.0004111448941453939;-510927745.0018551;1203258535464398.8;0.9830254141255107;3.5820931489533665e-05;1.4599209855512432e-58;1.7154117831894445e-116;0.0047196903717188;3.513048298639752e-07
PE090;1710743699.6666667;865140.33328861;1710743766.6666667;860650.3332888484;0.2731343362988016;7.57750139653635e-05;-467262314.7188719;221759452288809.56;0.9857873628841777;3.2995187078755933e-06;9.331640953689567e-57;2.612385595095777e-112;0.0040636191559701;7.231728268965204e-08
ST025;1710743180.0;110593.0;1710743243.3333333;112864.33335489035;0.29476248521170995;0.0007895169609307908;-504262379.36108375;2310627210197404.0;0.9784563719992218;4.0497364545780656e-05;6.014865335423847e-47;1.0853581463197496e-92;0.005517842758680766;3.8282139610663305e-07
CTR;1710743629.0;1234861.0;1710743698.6666667;1220134.3332723975;0.3563544865712584;0.00026797101424077467;-609630644.103057;784259195326519.6;0.9899095272949024;1.554206984120678e-05;3.422595264883587e-59;3.51424551104408e-117;0.004391459669853667;1.727146481508239e-06
PE055;1710744130.6666667;595177.3332896233;1710744199.0;597451.0;0.2986585025975965;0.0004111448941453939;-510927745.0018551;1203258535464398.8;0.9830254141255107;3.5820931489533665e-05;1.4599209855512432e-58;1.7154117831894445e-116;0.0047196903717188;3.513048298639752e-07
